timestamp_utc,timestamp_local,trip_id,trip_sequence,session_odometer,engine_state,drive_phase,rpm,coolant_temp_c,boost_actual_kpa,vehicle_speed_kph,engine_load_pct,throttle_pos_pct,stft_pct,ltft_pct,maf_g_s,intake_air_temp_c,oil_temp_c,battery_voltage_v,baro_pressure_kpa,fuel_trim_sum,boost_target_kpa,boost_delta_kpa,turbo_inlet_pres,oil_pressure_kpa,raw_pid,raw_response,decode_status,sample_tier,fw_version,vin_partial
2026-05-09T15:17:20,2026-05-09T10:17:20,no_trip,35,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:20,2026-05-09T10:17:20,no_trip,36,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:17:24,2026-05-09T10:17:24,no_trip,37,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:24,2026-05-09T10:17:24,no_trip,38,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:17:27,2026-05-09T10:17:27,no_trip,39,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:27,2026-05-09T10:17:27,no_trip,40,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:17:31,2026-05-09T10:17:31,no_trip,41,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:31,2026-05-09T10:17:31,no_trip,42,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:17:34,2026-05-09T10:17:34,no_trip,43,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:34,2026-05-09T10:17:34,no_trip,44,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:17:38,2026-05-09T10:17:38,no_trip,45,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:38,2026-05-09T10:17:38,no_trip,46,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,STOPPED,error,critical,0.1.0,344148
2026-05-09T15:17:38,2026-05-09T10:17:38,no_trip,47,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,0105,SEARCHING...NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:38,2026-05-09T10:17:38,no_trip,48,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010C,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:40,2026-05-09T10:17:40,no_trip,49,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010B,NO DATA,no_data,critical,0.1.0,344148
2026-05-09T15:17:40,2026-05-09T10:17:40,no_trip,50,0.0,cold_start,idle,,,,,,,,,,,,,,,,,,,010D,NO DATA,no_data,critical,0.1.0,344148
